year,resident,population density (km2/person),households (10k),number of people per households ,citizens at the end of the yrea (10k),male (10k),female (10k),life,male (age),female (age)
1978,11040000, 1 785,291.69,3.77, 1 098.28,542.7,555.58,73.35,70.69,74.78
1979,11370000, 1 838,296.71,3.82, 1 132.14,560.4,571.74,73.14,70.64,75.48
1980,11520000, 1 862,303.87,3.77, 1 146.52,569.3,577.22,73.33,71.25,75.36
1981,11680000, 1 888,314.56,3.7, 1 162.84,578.76,584.08,73.38,71.28,75.47
1982,11860000, 1 917,321.71,3.67, 1 180.51,588.82,591.69,74.04,71.77,76.25
1983,12010000, 1 942,330.6,3.61, 1 194.01,596.67,597.34,73.23,71.15,75.26
1984,12170000, 1 968,340.78,3.54, 1 204.78,602.59,602.19,73.9,71.73,76.17
1985,12330000, 1 993,351.72,3.46, 1 216.69,609.7,606.99,74.27,72.14,76.37
1986,12490000, 1 970,364.92,3.38, 1 232.33,618.88,613.45,74.71,72.54,76.85
1987,12650000, 1 995,380.19,3.29, 1 249.51,628.78,620.73,74.46,72.32,76.6
1988,12880000, 2 031,394.95,3.2, 1 262.42,635.82,626.6,74.63,72.5,76.77
1989,13110000, 2 067,406.82,3.14, 1 276.45,643.51,632.94,74.98,72.85,77.12
1990,13340000, 2 104,415.28,3.09, 1 283.35,647.13,636.22,75.46,73.16,77.74
1991,13500000, 2 128,425.84,3.02, 1 287.20,649.03,638.17,75.79,73.58,77.95
1992,13650000, 2 154,431.67,2.99, 1 289.37,649.97,639.4,75.97,74.04,77.91
1993,13810000, 2 179,438.69,2.95, 1 294.74,652.92,641.82,75.97,74.04,77.91
1994,13980000, 2 204,444.38,2.92, 1 298.81,655.14,643.67,76.26,74.29,78.23
1995,14140000, 2 230,450.76,2.89, 1 301.37,656.48,644.89,76.03,74.11,77.97
1996,14510000, 2 288,457.49,2.85, 1 304.43,657.86,646.57,76.11,74.07,78.21
1997,14890000, 2 348,461.4,2.83, 1 305.46,657.93,647.53,77.2,75.18,79.21
1998,15270000, 2 409,465.72,2.81, 1 306.58,658.22,648.36,77.03,75.06,79.02
1999,15670000, 2 472,470.11,2.79, 1 313.12,661.19,651.93,78.44,76.38,80.53
2000,16086000, 2 537,475.73,2.78, 1 321.63,665.51,656.12,78.77,76.71,80.81
2001,16683300, 2 631,478.92,2.77, 1 327.14,668.32,658.82,79.66,77.47,81.83
2002,17129700, 2 702,481.77,2.77, 1 334.23,672.05,662.18,79.52,77.36,81.63
2003,17658400, 2 785,486.06,2.76, 1 341.77,675.47,666.3,79.8,77.78,81.81
2004,18349800, 2 894,490.58,2.76, 1 352.39,680.38,672.01,80.29,78.08,82.48
2005,18902600, 2 981,496.69,2.74, 1 360.26,683.51,676.75,80.13,77.89,82.36
2006,19641100, 3 098,499.54,2.74, 1 368.08,686.66,681.42,80.97,78.64,83.29
2007,20635800, 3 255,503.29,2.74, 1 378.86,691.08,687.78,81.08,78.87,83.29
2008,21406500, 3 376,506.64,2.75, 1 391.04,695.57,695.47,81.28,79.06,83.5
2009,22102800, 3 486,509.79,2.75, 1 400.70,699.25,701.45,81.73,79.42,84.06
2010,23026600, 3 632,519.27,2.72, 1 412.32,703.57,708.75,82.13,79.82,84.44
2011,23474600, 3 702,522.01,2.72, 1 419.36,706.37,712.99,82.51,80.23,84.8
2012,23804300, 3 754,524.31,2.72, 1 426.93,709.62,717.31,82.41,80.18,84.67
2013,24151500, 3 809,527.52,2.72, 1 432.34,711.93,720.41,82.47,80.19,84.79
2014,24256800, 3 826,532.55,2.7, 1 438.69,714.71,723.99,82.29,80.04,84.59
2015,24152700, 3 809,536.76,2.69, 1 442.97,716.37,726.6,82.75,80.47,85.09
2016,24197000, 3 816,541.62,2.68, 1 450.00,719.35,730.65,83.18,80.83,85.61
