City,GDP(US$bn),Population,log(Population),Area^(1/2)£¨km£©,YEAR,,Area£¨k©O£©,Area^(1/2)£¨km£©
Tokyo,750.11,12178176,7.085582246,46.84090093,2001,,2194.07,46.84090093
Tokyo,771.63,12292467,7.089639051,46.84090093,2002,,2194.07,46.84090093
Tokyo,840.42,12388222,7.093008979,46.84090093,2003,,2194.07,46.84090093
Tokyo,911.36,12477934,7.096142684,46.84090093,2004,,2194.07,46.84090093
Tokyo,877.26,12576601,7.099563283,46.84090093,2005,,2194.07,46.84090093
Tokyo,906.97,12700327,7.103814903,46.84090093,2006,,2194.07,46.84090093
Tokyo,935.95,12835130,7.108400272,46.84090093,2007,,2194.07,46.84090093
Tokyo,1030.67,12965871,7.112801696,46.84090093,2008,,2194.07,46.84090093
Tokyo,1056.36,13077625,7.11652888,46.84090093,2009,,2194.07,46.84090093
Tokyo,1146.14,13159388,7.119235692,46.84090093,2010,,2194.07,46.84090093
Tokyo,1269.65,13191203,7.120284404,46.84090093,2011,,2194.07,46.84090093
Tokyo,1211.44,13225551,7.121413775,46.84090093,2012,,2194.07,46.84090093
Tokyo,1017.73,13301154,7.123889322,46.84090093,2013,,2194.07,46.84090093
Tokyo,934.18,13398087,7.127042794,46.84090093,2014,,2194.07,46.84090093
Tokyo,872.1,13515271,7.130824758,46.84090093,2015,,2194.07,46.84090093
Tokyo,947.2,13636222,7.134694063,46.84090093,2016,,2194.07,46.84090093
Tokyo,975,13742906,7.138078576,46.84090093,2017,,2194.07,46.84090093
New York,973.6,18490029,7.266937592,131.9280107,2001,,17405,131.9280107
New York,991.1,18590085,7.269281376,131.9280107,2002,,17405,131.9280107
New York,1014.8,18671320,7.271175022,131.9280107,2003,,17405,131.9280107
New York,1074.1,18747431,7.272941764,131.9280107,2004,,17405,131.9280107
New York,1149.4,18798114,7.274114279,131.9280107,2005,,17405,131.9280107
New York,1216,18825633,7.274749588,131.9280107,2006,,17405,131.9280107
New York,1270.8,18901167,7.276488619,131.9280107,2007,,17405,131.9280107
New York,1257.1,18968510,7.278033218,131.9280107,2008,,17405,131.9280107
New York,1276.5,19069796,7.280346047,131.9280107,2009,,17405,131.9280107
New York,1338.5,18923407,7.27699933,131.9280107,2010,,17405,131.9280107
New York,1363.9,19052774,7.279958216,131.9280107,2011,,17405,131.9280107
New York,1439.2,19149689,7.282161725,131.9280107,2012,,17405,131.9280107
New York,1477,19226449,7.28389908,131.9280107,2013,,17405,131.9280107
New York,1542.8,19280929,7.285127955,131.9280107,2014,,17405,131.9280107
New York,1618.4,19320968,7.286028881,131.9280107,2015,,17405,131.9280107
New York,1662.7,19334778,7.28633919,131.9280107,2016,,17405,131.9280107
New York,1717.7,19322607,7.286065721,131.9280107,2017,,17405,131.9280107
London,425.04,7320000,6.864511081,39.61060464,2001,,1569,39.61060464
London,442.38,7380000,6.868056362,39.61060464,2002,,1569,39.61060464
London,468.34,7390000,6.868644438,39.61060464,2003,,1569,39.61060464
London,494.5,7430000,6.870988814,39.61060464,2004,,1569,39.61060464
London,534.47,7520000,6.876217841,39.61060464,2005,,1569,39.61060464
London,569.31,7600000,6.880813592,39.61060464,2006,,1569,39.61060464
London,654.05,7690000,6.88592634,39.61060464,2007,,1569,39.61060464
London,615.96,7810000,6.892651034,39.61060464,2008,,1569,39.61060464
London,509.73,7940000,6.899820502,39.61060464,2009,,1569,39.61060464
London,520.78,8060000,6.906335042,39.61060464,2010,,1569,39.61060464
London,565.8,8200000,6.913813852,39.61060464,2011,,1569,39.61060464
London,583.93,8310000,6.919601024,39.61060464,2012,,1569,39.61060464
London,606.77,8420000,6.925312091,39.61060464,2013,,1569,39.61060464
London,683.67,8540000,6.931457871,39.61060464,2014,,1569,39.61060464
London,658.3,8670000,6.938019097,39.61060464,2015,,1569,39.61060464
London,617.14,8770000,6.942999593,39.61060464,2016,,1569,39.61060464
London,606.98,8830000,6.945960704,39.61060464,2017,,1569,39.61060464
Paris,546.51,11102824,7.045433456,109.5992701,2001,,12012,109.5992701
Paris,574.62,11185563,7.048657848,109.5992701,2002,,12012,109.5992701
Paris,578.39,11270074,7.051926768,109.5992701,2003,,12012,109.5992701
Paris,598.49,11350290,7.055006958,109.5992701,2004,,12012,109.5992701
Paris,624.19,11442143,7.058507371,109.5992701,2005,,12012,109.5992701
Paris,641.96,11532398,7.061919622,109.5992701,2006,,12012,109.5992701
Paris,741.64,11598866,7.064415531,109.5992701,2007,,12012,109.5992701
Paris,812.8,11659260,7.066670987,109.5992701,2008,,12012,109.5992701
Paris,769.41,11728240,7.069232845,109.5992701,2009,,12012,109.5992701
Paris,781.53,11786234,7.071375059,109.5992701,2010,,12012,109.5992701
Paris,846.04,11852851,7.073822825,109.5992701,2011,,12012,109.5992701
Paris,786.54,11898502,7.075492288,109.5992701,2012,,12012,109.5992701
Paris,807.04,11959807,7.077724171,109.5992701,2013,,12012,109.5992701
Paris,807.04,12027565,7.080177713,109.5992701,2014,,12012,109.5992701
Paris,820.37,12082144,7.082144008,109.5992701,2015,,12012,109.5992701
Paris,844.63,12117132,7.083399839,109.5992701,2016,,12012,109.5992701
Paris,800.82,12174880,7.085464689,109.5992701,2017,,12012,109.5992701
