Num,YEAR,SOC_NAME,Count,PREVAILING_WAGE
0,2011,Able Seamen,1,41040
1,2011,Accountants,2517,118906.2583
2,2011,Accountants and Auditors,3655,55215.39185
3,2011,Actors,1,24336
4,2011,Actuaries,471,76485.01117
5,2011,"Administrative Law Judges, Adjudicators, and Heari",2,38147.1
6,2011,Administrative Services Managers,219,56355.97443
7,2011,Adult Basic and Secondary Education and Literacy T,15,39445.97333
8,2011,"Adult Literacy, Remedial Education, and GED Teache",31,38560.43871
9,2011,Advertising Sales Agents,25,43628.696
10,2011,Advertising and Promotions Managers,434,81351.61899
11,2011,Aerospace Engineering and Operations Technicians,33,41979.44848
12,2011,Aerospace Engineers,347,78681.6536
13,2011,"Agents and Business Managers of Artists, Performer",37,52072.45946
14,2011,Agricultural Crop Farm Managers,27,48143.47407
15,2011,Agricultural Engineers,73,52127.13479
16,2011,Agricultural Inspectors,71,29260.7662
17,2011,"Agricultural Sciences Teachers, Postsecondary",54,52984.56481
18,2011,Agricultural Technicians,18,30990.92222
19,2011,"Agricultural Workers, All Other",3,35970.2
20,2011,Agricultural and Food Science Technicians,28,34164.37857
21,2011,Agricultural and Food Scientists,7,44473.37143
22,2011,Aircraft Engine Specialists,2,44595.5
23,2011,Aircraft Mechanics and Service Technicians,8,42104.625
24,2011,Airfield Operations Specialists,2,30794.5
25,2011,Airframe-and-Power-Plant Mechanics,2,43326.5
26,2011,All other air transportation workers,1,32094
27,2011,"All other architects, surveyors,and cartographers",4,53299.15
28,2011,Amusement and Recreation Attendants,1,20488
29,2011,Anesthesiologists,72,129100.6833
30,2011,Animal Breeders,56,27900.25
31,2011,Animal Scientists,91,43413.47912
32,2011,Animal Trainers,3,35262.66667
33,2011,Anthropologists,3,37904.33333
34,2011,Anthropologists and Archeologists,4,49753.5
35,2011,"Anthropology and Archeology Teachers, Postsecondar",38,51719.84737
36,2011,Appraisers and Assessors of Real Estate,6,48425.83333
37,2011,"Appraisers, Real Estate",5,49970
38,2011,"Arbitrators, Mediators, and Conciliators",2,60996
39,2011,Archeologists,5,50294.16
40,2011,"Architects, Except Landscape and Naval",750,53877.2952
41,2011,Architectural Drafters,171,41604.89357
42,2011,Architectural and Civil Drafters,226,40947.58319
43,2011,Architectural and Engineering Managers,300,112423.7
44,2011,"Architecture Teachers, Postsecondary",97,68477.88948
45,2011,Archivists,33,44218
46,2011,"Area, Ethnic, and Cultural Studies Teachers, Posts",63,49076.2127
47,2011,Art Directors,252,79066.81746
48,2011,"Art, Drama, and Music Teachers, Postsecondary",261,47657.0872
49,2011,"Artists and Related Workers, All Other",21,44113.91429
50,2011,Astronomers,91,50071.32967
51,2011,Athletic Trainers,84,35351.12702
52,2011,Atmospheric and Space Scientists,124,57799.12581
53,2011,"Atmospheric, Earth, Marine, and Space Sciences Tea",56,54530.28571
54,2011,Audio and Video Equipment Technicians,8,38279.25
55,2011,Audio-Visual Collections Specialists,7,33288.94286
56,2011,Audio-Visual and Multimedia Collections Specialist,8,37758.7
57,2011,Audiologists,18,61572.41111
58,2011,Auditors,904,57591.16978
59,2011,Automotive Master Mechanics,5,36803.6
60,2011,Automotive Service Technicians and Mechanics,1,43368
61,2011,Automotive Specialty Technicians,1,33384
62,2011,Aviation Inspectors,2,46716.5
63,2011,Avionics Technicians,4,48859.15
64,2011,Bakers,1,32385.6
65,2011,"Bakers, Bread and Pastry",2,22932.2
66,2011,Bill and Account Collectors,1,37565
67,2011,Billing and Posting Clerks,2,35901
68,2011,"Billing, Cost, and Rate Clerks",4,33899
69,2011,Biochemists,552,49011.31982
70,2011,Biochemists and Biophysicists,2984,41469.73048
71,2011,"Biological Science Teachers, Postsecondary",266,54735.75774
72,2011,Biological Scientists,77,48453.70649
73,2011,"Biological Scientists, All Other",1700,86744.30546
74,2011,Biological Technicians,1153,33084.16245
75,2011,Biologists,42,42794.18571
76,2011,Biomedical Engineers,719,62520.84989
77,2011,Biophysicists,67,48318.63284
78,2011,"Bookkeeping, Accounting, and Auditing Clerks",107,34308.83364
79,2011,Broadcast News Analysts,24,34666.675
80,2011,Broadcast Technicians,3,40532.33333
81,2011,Brokerage Clerks,2,38865
82,2011,Budget Analysts,427,53199.26155
83,2011,Bus and Truck Mechanics and Diesel Engine Speciali,1,31470
84,2011,"Business Operations Specialists, All Other",1237,47689.1329
85,2011,"Business Operations Specialists, All Other*",433,49402.09423
86,2011,"Business Teachers, Postsecondary",690,54364.2338
87,2011,"Buyers and Purchasing Agents, Farm Products",2,45885
88,2011,Calibration and Instrumentation Technicians,36,40633.47222
89,2011,"Camera Operators, Television, Video, and Motion Pi",4,44309.3
90,2011,"Captains, Mates, and Pilots of Water Vessels",11,56717.72727
91,2011,Cardiovascular Technologists and Technicians,5,60103.8
92,2011,"Career/Technical Education Teachers, Middle School",1,58947.2
93,2011,"Career/Technical Education Teachers, Secondary Sch",3,47523.33333
94,2011,Cargo and Freight Agents,13,35615.92308
95,2011,Carpenters,1,34736
96,2011,Cartographers and Photogrammetrists,49,49720.91429
97,2011,Chefs and Head Cooks,126,43018.38254
98,2011,Chemical Engineers,1231,72254.89667
99,2011,Chemical Technicians,188,35376.32553
100,2011,"Chemistry Teachers, Postsecondary",203,48282.61818
101,2011,Chemists,1877,53899.29043
102,2011,Chief Executives,501,151962.5527
103,2011,Child Care Workers,1,22526.4
104,2011,"Child, Family, and School Social Workers",105,34861.23619
105,2011,Childcare Workers,1,22588.8
106,2011,Chiropractors,89,52929.83596
107,2011,Choreographers,8,43037.975
108,2011,City Planning Aides,4,36457.2
109,2011,Civil Drafters,5,43297.36
110,2011,Civil Engineering Technicians,55,48299.07636
111,2011,Civil Engineers,2209,64878.06836
112,2011,"Civil Engineers, Non R&D",10,54410.7
113,2011,"Civil Engineers, R&D",89,47486.4109
114,2011,"Claims Adjusters, Examiners, and Investigators",7,51735.34286
115,2011,"Claims Examiners, Property and Casualty Insurance",1,52603
116,2011,Clergy,152,33222.59737
117,2011,Clinical Psychologists,42,56146.18476
118,2011,"Clinical, Counseling, and School Psychologists",72,48715.49111
119,2011,Coaches and Scouts,381,27980.24136
120,2011,Commercial Pilots,6,58372.46667
121,2011,Commercial and Industrial Designers,961,50382.58747
122,2011,"Communications Teachers, Postsecondary",123,44279.46317
123,2011,"Community and Social Service Specialists, All Othe",67,33644.14448
124,2011,Compensation and Benefits Managers,38,93603.8
125,2011,"Compensation, Benefits, and Job Analysis Specialis",137,51745.45547
126,2011,Compliance Officers,60,56696.93
127,2011,"Compliance Officers, Except Agriculture, Construct",143,47279.96783
128,2011,Composers,2,32967.98
129,2011,Computer Hardware Engineers,501,84094.67665
130,2011,"Computer Hardware Engineers, Non R&D",2,48765.5
131,2011,"Computer Hardware Engineers, R&D",3,46420.2
132,2011,Computer Numerically Controlled Machine Tool Progr,2,41850
133,2011,"Computer Occupations, All Other*",3218,61470.9688
134,2011,Computer Operators,15,35380.70667
135,2011,Computer Programmer Non R & D,190,54513.84211
136,2011,Computer Programmer R&D,44,47305.98182
137,2011,Computer Programmers,38641,63758.25163
138,2011,Computer Programmers Non R & D,23,56395.97391
139,2011,Computer Programmers R & D,10,53005.26
140,2011,"Computer Science Teachers, Postsecondary",293,52096.94666
141,2011,Computer Security Specialists,305,65722.53705
142,2011,"Computer Software Engineers, Applications",26033,92145.06676
143,2011,"Computer Software Engineers, Applications, Non R&D",229,58067.8559
144,2011,"Computer Software Engineers, Applications,R&D",65,58065.54769
145,2011,"Computer Software Engineers, Systems Software",9645,83148.43375
146,2011,"Computer Software Engineers, Systems Software, Non",46,64011.81304
147,2011,"Computer Software Engineers, Systems Software,R&D",56,54964.925
148,2011,"Computer Specialists, All Other",2016,62058.32877
149,2011,Computer Support Specialists,799,137205.6033
150,2011,Computer Systems Analysts,41885,74565.61036
151,2011,"Computer Systems Analysts, Non R&D (ACWIA Only)",200,56251.644
152,2011,"Computer Systems Analysts, R&D (ACWIA Only)",66,51099.38485
153,2011,Computer Systems Engineers/Architects,1935,152846.8433
154,2011,Computer and Information Research Scientists,240,76779.07833
155,2011,"Computer and Information Scientists, Research",576,77787.69965
156,2011,Computer and Information Systems Managers,2791,103629.8981
157,2011,"Computer and Information Systems Managers, R&D (AC",4,108571
158,2011,"Computer and Information Systems Managers,Non R&D ",16,90920.75
159,2011,"Computer, Automated Teller, and Office Machine Rep",1,44637
160,2011,Concierges,2,43701
161,2011,Conservation Scientists,13,60377.90769
162,2011,Construction Laborers,1,76045
163,2011,Construction Managers,248,71824.03988
164,2011,Construction and Building Inspectors,8,44739.025
165,2011,"Construction and Related Workers, All Other",1,47923.2
166,2011,"Construction and Related Workers, All Other*",2,50606.5
167,2011,"Cooks, Restaurant",7,25922.54286
168,2011,"Cooks, Short Order",1,21008
169,2011,Copy Writers,84,55360.19286
170,2011,Coroners,2,54267
171,2011,Cost Estimators,433,248290.3741
172,2011,Counseling Psychologists,6,63148.6
173,2011,"Counselors, All Other",46,35506.30435
174,2011,Craft Artists,1,22172.8
175,2011,Creative Writers,1,42723.2
176,2011,Credit Analysts,459,60159.49708
177,2011,Credit Counselors,14,31939.72857
178,2011,"Criminal Justice and Law Enforcement Teachers, Pos",24,43796.925
179,2011,Curators,118,41964.29153
180,2011,Customer Service Representatives,23,31795.63478
181,2011,Dancers,2,29619.4
182,2011,Data Entry Keyers,1,31096
183,2011,Database Administrators,3814,63036.83888
184,2011,Dental Assistants,2,25636
185,2011,Dental Hygienists,1,61276.8
186,2011,Dental Laboratory Technicians,10,48237.24
187,2011,"Dentists, All Other Specialists",108,92043.5275
188,2011,"Dentists, General",588,98017.12823
189,2011,"Designers, All Other",164,33303.08171
190,2011,Desktop Publishers,5,31124.8
191,2011,Diagnostic Medical Sonographers,6,65757.63333
192,2011,Dietitians and Nutritionists,111,46330.17946
193,2011,"Dietitians and Nutritionists, R&D (ACWIA Only)",1,45448
194,2011,"Directors, Religious Activities and Education",105,33915.98476
195,2011,"Directors- Stage, Motion Pictures, Television, and",12,61439.93333
196,2011,"Dispatchers, Except Police, Fire, and Ambulance",1,31595
197,2011,"Drafters, All Other",4,39582.25
198,2011,"Economics Teachers, Postsecondary",301,57914.65924
199,2011,Economists,627,81461.50322
200,2011,Editors,346,45750.8111
201,2011,"Education Administrators, All Other",89,54204.30337
202,2011,"Education Administrators, Elementary and Secondary",134,68788.31313
203,2011,"Education Administrators, Postsecondary",185,65781.10762
204,2011,"Education Administrators, Preschool and Child Care",45,33059.08444
205,2011,"Education Administrators, Preschool and Childcare ",16,37777.9
206,2011,"Education Teachers, Postsecondary",180,46414.59833
207,2011,"Education, Training, and Library Workers, All Othe",49,31880.57959
208,2011,Educational Psychologists,3,54401
209,2011,"Educational, Guidance, School, and Vocational Coun",39,37927.8359
210,2011,"Educational, Vocational, and School Counselors",105,38256.78476
211,2011,Electrical Drafters,9,45357.8
212,2011,Electrical Engineering Technicians,33,48805.89697
213,2011,Electrical Engineers,4817,75009.31339
214,2011,"Electrical Engineers, Non R&D",20,60731.61
215,2011,"Electrical Engineers, R&D",222,43349.4036
216,2011,Electrical Power-Line Installers and Repairers,1,43368
217,2011,Electrical and Electronic Engineering Technicians,66,48701.06364
218,2011,Electrical and Electronics Drafters,7,47120.82857
219,2011,Electrical and Electronics Engineering Technicians,60,48296.92333
220,2011,"Electrical and Electronics Repairers, Commercial a",5,48846.6
221,2011,Electro-Mechanical Technicians,2,36431
222,2011,Electronic Drafters,3,45275
223,2011,"Electronic Equipment Installers and Repairers, Mot",1,30950.4
224,2011,Electronic Home Entertainment Equipment Installers,1,42224
225,2011,Electronics Engineering Technicians,28,45008.58571
226,2011,"Electronics Engineers, Except Computer",4932,79567.50878
227,2011,"Electronics Engineers, Except Computer, Non R&D",31,67100.96774
228,2011,"Electronics Engineers, Except Computer, R&D",29,64433.75862
229,2011,"Elementary School Teachers, Except Special Educati",1607,99469.77801
230,2011,Emergency Management Directors,1,88441.6
231,2011,Emergency Management Specialists,8,64014.625
232,2011,"Employment Interviewers, Private or Public Employm",11,45136.01818
233,2011,"Employment, Recruitment, and Placement Specialists",117,45258.8735
234,2011,Engineering Managers,1063,110054.791
235,2011,"Engineering Managers,Non R&D (ACWIA Only)",1,94869
236,2011,"Engineering Teachers, Postsecondary",562,59005.1345
237,2011,"Engineering Technicians, Except Drafters, All Othe",51,43168.28235
238,2011,"Engineers, All Other",1010,64275.14812
239,2011,"Engineers, R & D (Education Only)",1,43930
240,2011,"English Language and Literature Teachers, Postseco",148,43572.93236
241,2011,"Entertainers and Performers, Sports and Related Wo",5,42323.8
242,2011,Environmental Compliance Inspectors,10,36867.86
243,2011,Environmental Engineering Technicians,19,45616.36842
244,2011,Environmental Engineers,413,61107.3937
245,2011,"Environmental Science Teachers, Postsecondary",29,51908.49517
246,2011,"Environmental Science and Protection Technicians, ",40,33894.885
247,2011,"Environmental Scientists and Specialists, Includin",265,51215.76619
248,2011,Epidemiologists,113,59807.91398
249,2011,Equal Opportunity Representatives and Officers,1,57096
250,2011,Etchers and Engravers,2,25896
251,2011,Excavating and Loading Machine and Dragline Operat,1,19760
252,2011,Executive Secretaries and Administrative Assistant,64,40362.7
253,2011,Executive Secretaries and Executive Administrative,10,38814.84
254,2011,Exhibit Designers,10,48376.6
255,2011,Fabric and Apparel Patternmakers,4,49732.85
256,2011,Family and General Practitioners,1001,336327.9022
257,2011,Farm and Home Management Advisors,32,30071.59375
258,2011,"Farm, Ranch, and Other Agricultural Managers",37,45709.39459
259,2011,Farmers and Ranchers,8,35742.025
260,2011,"Farmers, Ranchers, and Other Agricultural Managers",22,49790.53636
261,2011,"Farmworkers and Laborers, Crop, Nursery, and Green",2,24595.8
262,2011,Fashion Designers,455,54897.42655
263,2011,File Clerks,2,24179.8
264,2011,Film and Video Editors,62,48228.14194
265,2011,Financial Analysts,6891,75142.33625
266,2011,Financial Examiners,104,68885.52115
267,2011,Financial Managers,1355,104909.6883
268,2011,"Financial Managers, Branch or Department",112,112057.2196
269,2011,"Financial Specialists, All Other",364,395614.4934
270,2011,"Fine Artists, Including Painters, Sculptors, and I",10,38548.7
271,2011,Fire-Prevention and Protection Engineers,12,66343.28333
272,2011,First-Line Supervisors and Manager/Supervisors - A,17,40612.05882
273,2011,First-Line Supervisors and Manager/Supervisors - F,1,30170
274,2011,First-Line Supervisors and Manager/Supervisors - H,5,36146.32
275,2011,First-Line Supervisors and Manager/Supervisors - L,2,41371
276,2011,First-Line Supervisors and Manager/Supervisors- Co,8,65478.25
277,2011,First-Line Supervisors of Construction Trades and ,3,62915.33333
278,2011,"First-Line Supervisors of Farming, Fishing, and Fo",4,40196
279,2011,First-Line Supervisors of Food Preparation and Ser,5,30451.4
280,2011,First-Line Supervisors of Housekeeping and Janitor,2,32271.5
281,2011,"First-Line Supervisors of Landscaping, Lawn Servic",2,57616.1
282,2011,"First-Line Supervisors of Mechanics, Installers, a",2,52312
283,2011,First-Line Supervisors of Non-Retail Sales Workers,7,45694.48571
284,2011,First-Line Supervisors of Office and Administrativ,12,47720.16667
285,2011,First-Line Supervisors of Personal Service Workers,1,42869
286,2011,First-Line Supervisors of Production and Operating,5,40503.6
287,2011,First-Line Supervisors of Retail Sales Workers,7,35788.71429
288,2011,First-Line Supervisors of Transportation and Mater,1,37000
289,2011,"First-Line Supervisors, Administrative Support",3,34382.66667
290,2011,"First-Line Supervisors, Customer Service",5,38479.2
291,2011,First-Line Supervisors/Managers of Construction Tr,7,67091.94286
292,2011,"First-Line Supervisors/Managers of Farming, Fishin",4,35833.1
293,2011,First-Line Supervisors/Managers of Food Preparatio,21,31838.89524
294,2011,"First-Line Supervisors/Managers of Helpers, Labore",1,32947.2
295,2011,First-Line Supervisors/Managers of Housekeeping an,4,33877.75
296,2011,"First-Line Supervisors/Managers of Landscaping, La",4,34403.5
297,2011,"First-Line Supervisors/Managers of Mechanics, Inst",5,50573.36
298,2011,First-Line Supervisors/Managers of Non-Retail Sale,23,46917.91304
299,2011,First-Line Supervisors/Managers of Office and Admi,26,39597.64615
300,2011,First-Line Supervisors/Managers of Personal Servic,3,42459.66667
301,2011,First-Line Supervisors/Managers of Production and ,29,47327.04138
302,2011,First-Line Supervisors/Managers of Retail Sales Wo,20,35570.76
303,2011,First-Line Supervisors/Managers of Transportation ,5,66284
304,2011,"First-Line Supervisors/Managers, Protective Servic",2,49452
305,2011,Fish Hatchery Managers,5,69742.2
306,2011,Fitness Trainers and Aerobics Instructors,36,29215.93333
307,2011,Food Science Technicians,12,31181.51667
308,2011,Food Scientists and Technologists,385,51863.14452
309,2011,Food Service Managers,289,43740.9128
310,2011,"Foreign Language and Literature Teachers, Postseco",674,44560.25218
311,2011,Forensic Science Technicians,13,63253.73538
312,2011,Foresters,7,50321.25714
313,2011,"Forestry and Conservation Science Teachers, Postse",13,48602.30769
314,2011,Freight Inspectors,1,33904
315,2011,Gaming Managers,1,64896
316,2011,Gem and Diamond Workers,1,41454
317,2011,General and Operations Managers,1484,94755.90842
318,2011,Geographers,63,44243.41905
319,2011,"Geography Teachers, Postsecondary",46,47846.36957
320,2011,Geological Data Technicians,32,44759.06125
321,2011,Geological Sample Test Technicians,2,47050
322,2011,Geological and Petroleum Technicians,72,46227.42778
323,2011,Geologists,93,81059.64946
324,2011,"Geoscientists, Except Hydrologists and Geographers",426,76514.87812
325,2011,Graduate Teaching Assistants,12,22726.31667
326,2011,Graphic Designers,1541,42720.95226
327,2011,"Hairdressers, Hairstylists, and Cosmetologists",3,15156.26667
328,2011,"Health Diagnosing and Treating Practitioners, All ",605,45967.49752
329,2011,Health Educators,210,39994.53333
330,2011,"Health Specialties Teachers, Postsecondary",1054,65463.79508
331,2011,"Health Technologists and Technicians, All Other",39,39586.13846
332,2011,"Health Technologists and Technicians, All Other*",9,43104.24
333,2011,"Health and Safety Engineers, Except Mining Safety ",82,69050.13659
334,2011,"Health professionals and technicians, all other",24,57258.74167
335,2011,"Healthcare Practitioners and Technical Workers, Al",463,40765.34212
336,2011,Healthcare Social Workers,13,38012.56923
337,2011,"Healthcare Support Workers, All Other",10,30064.24
338,2011,"Healthcare Support Workers, All Other*",6,39247.13333
339,2011,Historians,9,49698.22222
340,2011,"History Teachers, Postsecondary",117,49275.71214
341,2011,"Home Economics Teachers, Postsecondary",20,39410.1
342,2011,Home Health Aides,1,22402
343,2011,"Hotel, Motel, and Resort Desk Clerks",3,22110.4
344,2011,Housekeeping Supervisors,3,28301.66667
345,2011,"Human Resources Assistants, Except Payroll and Tim",21,35039.14286
346,2011,Human Resources Managers,63,93315.04444
347,2011,"Human Resources Managers, All Other",95,85881.96842
348,2011,"Human Resources, Training, and Labor Relations Spe",327,46697.08807
349,2011,Hydrologists,67,55185.4
350,2011,Industrial Engineering Technicians,34,42714.64706
351,2011,Industrial Engineers,2575,67564.16916
352,2011,Industrial Machinery Mechanics,1,44970
353,2011,Industrial Production Managers,362,81494.40729
354,2011,Industrial Safety and Health Engineers,41,68025.0878
355,2011,Industrial-Organizational Psychologists,39,73589.36923
356,2011,"Information Security Analysts, Web Developers, and",265,64436.14189
357,2011,"Information and Record Clerks, All Other",3,29896.46667
358,2011,"Inspectors, Testers, Sorters, Samplers, and Weighe",4,37148.9
359,2011,Instructional Coordinators,421,42496.36879
360,2011,"Insulation Workers, Mechanical",1,40206.4
361,2011,"Insurance Adjusters, Examiners, and Investigators",3,45490
362,2011,"Insurance Appraisers, Auto Damage",1,76398
363,2011,Insurance Policy Processing Clerks,1,28080
364,2011,Insurance Sales Agents,19,57187.90526
365,2011,Insurance Underwriters,48,67720.87083
366,2011,Interior Designers,293,43757.23741
367,2011,"Internists, General",1961,319999.7628
368,2011,Interpreters and Translators,257,38919.15424
369,2011,"Interviewers, Except Eligibility and Loan",1,23712
370,2011,Jewelers,1,41454.4
371,2011,Jewelers and Precious Stone and Metal Workers,5,40472.6
372,2011,Job Printers,1,44491
373,2011,Judicial Law Clerks,92,41918.50435
374,2011,"Kindergarten Teachers, Except Special Education",206,37240.3835
375,2011,Landscape Architects,136,48197.58235
376,2011,Law Clerks,259,39015.77683
377,2011,"Law Teachers, Postsecondary",45,73822.73333
378,2011,Lawn Service Managers,1,76897.6
379,2011,Lawyers,1028,111840.6896
380,2011,Legal Secretaries,4,40128.45
381,2011,"Legal Support Workers, All Other",63,46381.36825
382,2011,Legislators,2,22281.5
383,2011,Librarians,95,47869.00432
384,2011,"Library Assistants, Clerical",1,22984
385,2011,"Library Science Teachers, Postsecondary",25,48295.7388
386,2011,Library Technicians,5,36434.84
387,2011,"Library, museum, training, and other education wor",2,42190
388,2011,Licensed Practical and Licensed Vocational Nurses,1,40768
389,2011,Licensing Examiners and Inspectors,1,55536
390,2011,"Life Scientists, All Other",642,43693.38836
391,2011,"Life Scientists, R&D (ACWIA only)",9,49973.31111
392,2011,"Life, Physical, and Social Science Technicians, Al",104,35497.87885
393,2011,"Life, Physical, and Social Science Technicians, R&",2,41090.5
394,2011,Loan Counselors,39,33739.14872
395,2011,Loan Interviewers and Clerks,1,28412.8
396,2011,Loan Officers,50,47536.956
397,2011,Lodging Managers,248,46562.59032
398,2011,Logisticians,694,56425.18086
399,2011,Machinists,5,26528.56
400,2011,"Maintenance and Repair Workers, General",2,26385
401,2011,"Makeup Artists, Theatrical and Performance",1,38480
402,2011,Management Analysts,6724,65770.3986
403,2011,"Managers, All Other",1215,82968.57909
404,2011,Marine Architects,25,65510.04
405,2011,Marine Cargo Inspectors,10,32828.6
406,2011,Marine Engineers,48,67603.575
407,2011,Marine Engineers and Naval Architects,140,73149.80429
408,2011,Market Research Analysts,3954,50326.10773
409,2011,Market Research Analysts and Marketing Specialists,1374,50212.47351
410,2011,Marketing Managers,2178,97624.28081
411,2011,Marriage and Family Therapists,38,46015.35105
412,2011,Materials Engineers,732,71647.33029
413,2011,Materials Inspectors,1,27331
414,2011,Materials Scientists,666,60108.98174
415,2011,"Mathematical Science Occupations, All Other",47,49098.20426
416,2011,"Mathematical Science Teachers, Postsecondary",620,45463.75671
417,2011,Mathematical Technicians,21,40771.89524
418,2011,Mathematicians,236,61349.55797
419,2011,Mechanical Drafters,36,45649.61111
420,2011,Mechanical Engineering Technicians,72,45953.11389
421,2011,Mechanical Engineers,5256,66637.55787
422,2011,"Mechanical Engineers, Non R&D",10,57848.18
